รหัสพัสดุ,รายละเอียดพัสดุ,"หน่วย
นับ",ราคากลาง,ประเภท,ใช้ในงานแก้ไฟ
1020070004,"สายอลูมิเนียมตีเกลียวชนิดอัดแน่นหุ้มฉนวน พีวีซี.750 โวลท์ 75 องศา
เชลซียส 95 ต.มม.มอก.293 (จ้างรีดด้วยอินกอท Primary grade)",KM,"23,120.00",พัสดุหลัก,ไม่ใช้
1020080402,คอนโทรลเคเบิล ขนาด 7x2.5 ต.มม. มอก.838 ตารางที่ 10,M,142,พัสดุหลัก,ไม่ใช้
1020080501,สายทองแดงตีเกลียวหุ้มฉนวนครอสลิงคฺ์โพลิเอททีลินและเปลือกนอกพีวีซี 2x10 ต.มม. 600 โวลท์,M,146,พัสดุหลัก,ไม่ใช้
1020080502,"CABLE,CU,PVC,INS.&JAC,600V.2X35 SQ.MM.",M,469,พัสดุหลัก,ไม่ใช้
1020440006,"CABLE SPACER, PORCELAIN, TYPE 3",EA,"1,567.00",พัสดุหลัก,ไม่ใช้
1020440007,"CABLE SPACER, PORCELAIN, TYPE 4",EA,"1,849.00",พัสดุหลัก,ไม่ใช้
1030010002,ลูกถ้วยไลน์โพสท์ไทพ์ 22 เควี แบบ 57-2L ชนิดทนเพาเวอร์อาร์ค,EA,799,พัสดุหลัก,ใช้
1030010003,ลูกถ้วยไลน์โพสท์ไทพ์ 33 เควี แบบ 57-3L มอก.1077,EA,"1,279.00",พัสดุหลัก,ไม่ใช้
1030010101,ลูกถ้วยพินโพสท์ไทพ์ 22 เควี ชนิดทนเพาเวอร์อาร์ค,EA,982,พัสดุหลัก,ใช้
1030010102,ลูกถ้วยพินโพสท์ไทพ์ แบบ 56/57-4 มอก.1251,EA,"3,446.00",พัสดุหลัก,ใช้
1030010103,ลูกถ้วยพินโพสท์ไทพ์ แบบ 56/57-3 มอก.1251,EA,"2,072.00",พัสดุหลัก,ใช้
1030010008,"INSULATOR,LINE-POST,57-2,TIS.2623",EA,799,พัสดุหลัก,ใช้
1030010009,"INSULATOR,LINE-POST,57-3,TIS.2623",EA,"1,279.00",พัสดุหลัก,ใช้
1030010104,"INSULATOR,PIN-POST,56/57-2,TIS.2623",EA,982,พัสดุหลัก,ใช้
